epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3608391582965851,0.0010000000474974513,1.4218915700912476,0.33519554138183594,1.1301724910736084
1,0.38741257786750793,0.0010000000474974513,1.2976915836334229,0.33519554138183594,1.1597859859466553
2,0.41258740425109863,0.0010000000474974513,1.2199971675872803,0.33519554138183594,1.258567452430725
3,0.4965035021305084,0.0010000000474974513,1.0427730083465576,0.33519554138183594,1.5287010669708252
4,0.6531468629837036,0.0010000000474974513,0.7951515913009644,0.33519554138183594,1.868734359741211
5,0.770629346370697,0.0010000000474974513,0.5589697360992432,0.33519554138183594,2.3150033950805664
6,0.8839160799980164,0.0005000000237487257,0.3393825590610504,0.33519554138183594,2.7193827629089355
7,0.8895105123519897,0.0005000000237487257,0.3058045208454132,0.33519554138183594,2.782745599746704
8,0.9412587285041809,0.0005000000237487257,0.2036801278591156,0.33519554138183594,2.8039400577545166
9,0.966433584690094,0.0005000000237487257,0.13879413902759552,0.33519554138183594,2.628253936767578
10,0.966433584690094,0.0005000000237487257,0.13621915876865387,0.33519554138183594,2.922353506088257
11,0.9706293940544128,0.0002500000118743628,0.12556448578834534,0.33519554138183594,2.5338189601898193
12,0.9790209531784058,0.0002500000118743628,0.10248462110757828,0.3519552946090698,2.288611650466919
13,0.9790209531784058,0.0002500000118743628,0.08892840147018433,0.3519552946090698,2.1962904930114746
14,0.9860140085220337,0.0002500000118743628,0.08364089578390121,0.3966480493545532,2.0577375888824463
15,0.988811194896698,0.0002500000118743628,0.07401306182146072,0.4134078323841095,1.814908504486084
16,0.9874125719070435,0.0001250000059371814,0.07387746870517731,0.4525139629840851,1.6863430738449097
17,0.9874125719070435,0.0001250000059371814,0.07198949158191681,0.49162012338638306,1.5465142726898193
18,0.9930070042610168,0.0001250000059371814,0.06598684936761856,0.5363128781318665,1.3988029956817627
19,0.9958041906356812,0.0001250000059371814,0.05463940277695656,0.5698323845863342,1.290100336074829
20,0.9930070042610168,0.0001250000059371814,0.05691554397344589,0.6089385747909546,1.1639312505722046
21,0.9958041906356812,6.25000029685907e-05,0.058660294860601425,0.6368715167045593,1.17010498046875
22,0.9986013770103455,6.25000029685907e-05,0.049605727195739746,0.6536312699317932,1.1539461612701416
23,0.9930070042610168,6.25000029685907e-05,0.058267928659915924,0.6703910827636719,1.1472604274749756
24,0.9944055676460266,6.25000029685907e-05,0.0548047311604023,0.6927374005317688,1.1872851848602295
25,0.9930070042610168,6.25000029685907e-05,0.06617380678653717,0.6703910827636719,1.2347583770751953
26,1.0,3.125000148429535e-05,0.04093049466609955,0.6759776473045349,1.267762541770935
27,0.9958041906356812,3.125000148429535e-05,0.04606960713863373,0.6648044586181641,1.3134275674819946
28,0.9986013770103455,3.125000148429535e-05,0.043179117143154144,0.6648044586181641,1.356859564781189
29,0.9902098178863525,3.125000148429535e-05,0.05495179072022438,0.6759776473045349,1.3970770835876465
30,0.9986013770103455,3.125000148429535e-05,0.04347870871424675,0.6759776473045349,1.4204403162002563
31,0.9972028136253357,1.5625000742147677e-05,0.050888724625110626,0.6759776473045349,1.4528486728668213
32,1.0,1.5625000742147677e-05,0.041783783584833145,0.6871508359909058,1.4772217273712158
33,0.9972028136253357,1.5625000742147677e-05,0.04733049497008324,0.6871508359909058,1.50136137008667
34,1.0,1.5625000742147677e-05,0.04222907871007919,0.6871508359909058,1.5196573734283447
35,0.9958041906356812,1.5625000742147677e-05,0.05122007802128792,0.6871508359909058,1.540852665901184
36,0.9958041906356812,7.812500371073838e-06,0.04941625893115997,0.6759776473045349,1.5604196786880493
