epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.33986014127731323,0.0010000000474974513,1.518191933631897,0.4189944267272949,1.1367319822311401
1,0.3916083872318268,0.0010000000474974513,1.310181975364685,0.33519554138183594,1.138882040977478
2,0.40139859914779663,0.0010000000474974513,1.2208187580108643,0.33519554138183594,1.1920803785324097
3,0.45734265446662903,0.0010000000474974513,1.122052550315857,0.33519554138183594,1.3957812786102295
4,0.5300699472427368,0.0010000000474974513,1.0033448934555054,0.33519554138183594,1.8305444717407227
5,0.6223776340484619,0.0010000000474974513,0.8302915096282959,0.33519554138183594,2.3416872024536133
6,0.7860139608383179,0.0005000000237487257,0.5616808533668518,0.33519554138183594,2.6827237606048584
7,0.8825174570083618,0.0005000000237487257,0.37851113080978394,0.33519554138183594,2.761815309524536
8,0.9258741140365601,0.0005000000237487257,0.25746384263038635,0.33519554138183594,2.924715280532837
9,0.9538461565971375,0.0005000000237487257,0.19375145435333252,0.33519554138183594,2.840102434158325
10,0.9762237668037415,0.0005000000237487257,0.11866207420825958,0.33519554138183594,3.0806338787078857
11,0.9846153855323792,0.0002500000118743628,0.10426357388496399,0.33519554138183594,3.138664722442627
12,0.9832167625427246,0.0002500000118743628,0.0968472883105278,0.33519554138183594,3.104970693588257
